"Add New Tax Class", "Add New VAT Class"
"Yes (only price with tax)", "Yes (only price with VAT)"
"You cannot delete this tax class because it is used in existing %1(s).", "You cannot delete this VAT class because it is used in existing %1(s)."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.", "You cannot delete this VAT class because it is used in VAT Rules. You have to delete the rules it is used in first."
"You deleted the tax rate.", "You deleted the VAT rate."
"Your credit card will be charged for", "Your debit/credit card will be charged for"
"You saved the tax rate.", "You saved the VAT rate."
"You saved the tax rule.", "You saved the VAT rule."
"Zip code should not contain characters other than digits.", "Post code should not contain characters other than digits."
"Zip/Post Code", "Postcode"
"Zip/Post is Range", "Postcode is Range"
